Title,Authors,Abstract,arXiv ID,PDF_Link,Search Term
"Population-based Evaluation in Repeated Rock-Paper-Scissors as a
  Benchmark for Multiagent Reinforcement Learning","Marc Lanctot, John Schultz, Neil Burch, Max Olan Smith, Daniel Hennes, Thomas Anthony, Julien Perolat","Progress in fields of machine learning and adversarial planning has benefited
significantly from benchmark domains, from checkers and the classic UCI data
sets to Go and Diplomacy. In sequential decision-making, agent evaluation has
largely been restricted to few interactions against experts, with the aim to
reach some desired level of performance (e.g. beating a human professional
player). We propose a benchmark for multiagent learning based on repeated play
of the simple game Rock, Paper, Scissors along with a population of forty-three
tournament entries, some of which are intentionally sub-optimal. We describe
metrics to measure the quality of agents based both on average returns and
exploitability. We then show that several RL, online learning, and language
model approaches can learn good counter-strategies and generalize well, but
ultimately lose to the top-performing bots, creating an opportunity for
research in multiagent learning.",2303.03196v2,https://arxiv.org/pdf/2303.03196v2,Multiagent
Multiagent Inverse Reinforcement Learning via Theory of Mind Reasoning,"Haochen Wu, Pedro Sequeira, David V. Pynadath","We approach the problem of understanding how people interact with each other
in collaborative settings, especially when individuals know little about their
teammates, via Multiagent Inverse Reinforcement Learning (MIRL), where the goal
is to infer the reward functions guiding the behavior of each individual given
trajectories of a team's behavior during some task. Unlike current MIRL
approaches, we do not assume that team members know each other's goals a
priori; rather, that they collaborate by adapting to the goals of others
perceived by observing their behavior, all while jointly performing a task. To
address this problem, we propose a novel approach to MIRL via Theory of Mind
(MIRL-ToM). For each agent, we first use ToM reasoning to estimate a posterior
distribution over baseline reward profiles given their demonstrated behavior.
We then perform MIRL via decentralized equilibrium by employing single-agent
Maximum Entropy IRL to infer a reward function for each agent, where we
simulate the behavior of other teammates according to the time-varying
distribution over profiles. We evaluate our approach in a simulated 2-player
search-and-rescue operation where the goal of the agents, playing different
roles, is to search for and evacuate victims in the environment. Our results
show that the choice of baseline profiles is paramount to the recovery of the
ground-truth rewards, and that MIRL-ToM is able to recover the rewards used by
agents interacting both with known and unknown teammates.",2302.10238v2,https://arxiv.org/pdf/2302.10238v2,Multiagent
"Breaking the Curse of Multiagency: Provably Efficient Decentralized
  Multi-Agent RL with Function Approximation","Yuanhao Wang, Qinghua Liu, Yu Bai, Chi Jin","A unique challenge in Multi-Agent Reinforcement Learning (MARL) is the curse
of multiagency, where the description length of the game as well as the
complexity of many existing learning algorithms scale exponentially with the
number of agents. While recent works successfully address this challenge under
the model of tabular Markov Games, their mechanisms critically rely on the
number of states being finite and small, and do not extend to practical
scenarios with enormous state spaces where function approximation must be used
to approximate value functions or policies.
  This paper presents the first line of MARL algorithms that provably resolve
the curse of multiagency under function approximation. We design a new
decentralized algorithm -- V-Learning with Policy Replay, which gives the first
polynomial sample complexity results for learning approximate Coarse Correlated
Equilibria (CCEs) of Markov Games under decentralized linear function
approximation. Our algorithm always outputs Markov CCEs, and achieves an
optimal rate of $\widetilde{\mathcal{O}}(\epsilon^{-2})$ for finding
$\epsilon$-optimal solutions. Also, when restricted to the tabular case, our
result improves over the current best decentralized result
$\widetilde{\mathcal{O}}(\epsilon^{-3})$ for finding Markov CCEs. We further
present an alternative algorithm -- Decentralized Optimistic Policy Mirror
Descent, which finds policy-class-restricted CCEs using a polynomial number of
samples. In exchange for learning a weaker version of CCEs, this algorithm
applies to a wider range of problems under generic function approximation, such
as linear quadratic games and MARL problems with low ''marginal'' Eluder
dimension.",2302.06606v2,https://arxiv.org/pdf/2302.06606v2,Multiagent
"ReMIX: Regret Minimization for Monotonic Value Function Factorization in
  Multiagent Reinforcement Learning","Yongsheng Mei, Hanhan Zhou, Tian Lan","Value function factorization methods have become a dominant approach for
cooperative multiagent reinforcement learning under a centralized training and
decentralized execution paradigm. By factorizing the optimal joint action-value
function using a monotonic mixing function of agents' utilities, these
algorithms ensure the consistency between joint and local action selections for
decentralized decision-making. Nevertheless, the use of monotonic mixing
functions also induces representational limitations. Finding the optimal
projection of an unrestricted mixing function onto monotonic function classes
is still an open problem. To this end, we propose ReMIX, formulating this
optimal projection problem for value function factorization as a regret
minimization over the projection weights of different state-action values. Such
an optimization problem can be relaxed and solved using the Lagrangian
multiplier method to obtain the close-form optimal projection weights. By
minimizing the resulting policy regret, we can narrow the gap between the
optimal and the restricted monotonic mixing functions, thus obtaining an
improved monotonic value function factorization. Our experimental results on
Predator-Prey and StarCraft Multiagent Challenge environments demonstrate the
effectiveness of our method, indicating the better capabilities of handling
environments with non-monotonic value functions.",2302.05593v1,https://arxiv.org/pdf/2302.05593v1,Multiagent
"Breaking the Curse of Multiagents in a Large State Space: RL in Markov
  Games with Independent Linear Function Approximation","Qiwen Cui, Kaiqing Zhang, Simon S. Du","We propose a new model, independent linear Markov game, for multi-agent
reinforcement learning with a large state space and a large number of agents.
This is a class of Markov games with independent linear function approximation,
where each agent has its own function approximation for the state-action value
functions that are marginalized by other players' policies. We design new
algorithms for learning the Markov coarse correlated equilibria (CCE) and
Markov correlated equilibria (CE) with sample complexity bounds that only scale
polynomially with each agent's own function class complexity, thus breaking the
curse of multiagents. In contrast, existing works for Markov games with
function approximation have sample complexity bounds scale with the size of the
\emph{joint action space} when specialized to the canonical tabular Markov game
setting, which is exponentially large in the number of agents. Our algorithms
rely on two key technical innovations: (1) utilizing policy replay to tackle
non-stationarity incurred by multiple agents and the use of function
approximation; (2) separating learning Markov equilibria and exploration in the
Markov games, which allows us to use the full-information no-regret learning
oracle instead of the stronger bandit-feedback no-regret learning oracle used
in the tabular setting. Furthermore, we propose an iterative-best-response type
algorithm that can learn pure Markov Nash equilibria in independent linear
Markov potential games. In the tabular case, by adapting the policy replay
mechanism for independent linear Markov games, we propose an algorithm with
$\widetilde{O}(\epsilon^{-2})$ sample complexity to learn Markov CCE, which
improves the state-of-the-art result $\widetilde{O}(\epsilon^{-3})$ in
Daskalakis et al. 2022, where $\epsilon$ is the desired accuracy, and also
significantly improves other problem parameters.",2302.03673v3,https://arxiv.org/pdf/2302.03673v3,Multiagent
Differential Privacy in Cooperative Multiagent Planning,"Bo Chen, Calvin Hawkins, Mustafa O. Karabag, Cyrus Neary, Matthew Hale, Ufuk Topcu","Privacy-aware multiagent systems must protect agents' sensitive data while
simultaneously ensuring that agents accomplish their shared objectives. Towards
this goal, we propose a framework to privatize inter-agent communications in
cooperative multiagent decision-making problems. We study sequential
decision-making problems formulated as cooperative Markov games with
reach-avoid objectives. We apply a differential privacy mechanism to privatize
agents' communicated symbolic state trajectories, and then we analyze tradeoffs
between the strength of privacy and the team's performance. For a given level
of privacy, this tradeoff is shown to depend critically upon the total
correlation among agents' state-action processes. We synthesize policies that
are robust to privacy by reducing the value of the total correlation. Numerical
experiments demonstrate that the team's performance under these policies
decreases by only 3 percent when comparing private versus non-private
implementations of communication. By contrast, the team's performance decreases
by roughly 86 percent when using baseline policies that ignore total
correlation and only optimize team performance.",2301.08811v1,https://arxiv.org/pdf/2301.08811v1,Multiagent
"Interpreting Primal-Dual Algorithms for Constrained Multiagent
  Reinforcement Learning","Daniel Tabas, Ahmed S. Zamzam, Baosen Zhang","Constrained multiagent reinforcement learning (C-MARL) is gaining importance
as MARL algorithms find new applications in real-world systems ranging from
energy systems to drone swarms. Most C-MARL algorithms use a primal-dual
approach to enforce constraints through a penalty function added to the reward.
In this paper, we study the structural effects of this penalty term on the MARL
problem. First, we show that the standard practice of using the constraint
function as the penalty leads to a weak notion of safety. However, by making
simple modifications to the penalty term, we can enforce meaningful
probabilistic (chance and conditional value at risk) constraints. Second, we
quantify the effect of the penalty term on the value function, uncovering an
improved value estimation procedure. We use these insights to propose a
constrained multiagent advantage actor critic (C-MAA2C) algorithm. Simulations
in a simple constrained multiagent environment affirm that our reinterpretation
of the primal-dual method in terms of probabilistic constraints is effective,
and that our proposed value estimate accelerates convergence to a safe joint
policy.",2211.16069v3,https://arxiv.org/pdf/2211.16069v3,Multiagent
"Multiagent Reinforcement Learning for Autonomous Routing and Pickup
  Problem with Adaptation to Variable Demand","Daniel Garces, Sushmita Bhattacharya, Stephanie Gil, Dimitri Bertsekas","We derive a learning framework to generate routing/pickup policies for a
fleet of autonomous vehicles tasked with servicing stochastically appearing
requests on a city map. We focus on policies that 1) give rise to coordination
amongst the vehicles, thereby reducing wait times for servicing requests, 2)
are non-myopic, and consider a-priori potential future requests, 3) can adapt
to changes in the underlying demand distribution. Specifically, we are
interested in policies that are adaptive to fluctuations of actual demand
conditions in urban environments, such as on-peak vs. off-peak hours. We
achieve this through a combination of (i) an online play algorithm that
improves the performance of an offline-trained policy, and (ii) an offline
approximation scheme that allows for adapting to changes in the underlying
demand model. In particular, we achieve adaptivity of our learned policy to
different demand distributions by quantifying a region of validity using the
q-valid radius of a Wasserstein Ambiguity Set. We propose a mechanism for
switching the originally trained offline approximation when the current demand
is outside the original validity region. In this case, we propose to use an
offline architecture, trained on a historical demand model that is closer to
the current demand in terms of Wasserstein distance. We learn routing and
pickup policies over real taxicab requests in San Francisco with high
variability between on-peak and off-peak hours, demonstrating the ability of
our method to adapt to real fluctuation in demand distributions. Our numerical
results demonstrate that our method outperforms alternative rollout-based
reinforcement learning schemes, as well as other classical methods from
operations research.",2211.14983v2,https://arxiv.org/pdf/2211.14983v2,Multiagent
Learning Heterogeneous Agent Cooperation via Multiagent League Training,"Qingxu Fu, Xiaolin Ai, Jianqiang Yi, Tenghai Qiu, Wanmai Yuan, Zhiqiang Pu","Many multiagent systems in the real world include multiple types of agents
with different abilities and functionality. Such heterogeneous multiagent
systems have significant practical advantages. However, they also come with
challenges compared with homogeneous systems for multiagent reinforcement
learning, such as the non-stationary problem and the policy version iteration
issue. This work proposes a general-purpose reinforcement learning algorithm
named Heterogeneous League Training (HLT) to address heterogeneous multiagent
problems. HLT keeps track of a pool of policies that agents have explored
during training, gathering a league of heterogeneous policies to facilitate
future policy optimization. Moreover, a hyper-network is introduced to increase
the diversity of agent behaviors when collaborating with teammates having
different levels of cooperation skills. We use heterogeneous benchmark tasks to
demonstrate that (1) HLT promotes the success rate in cooperative heterogeneous
tasks; (2) HLT is an effective approach to solving the policy version iteration
problem; (3) HLT provides a practical way to assess the difficulty of learning
each role in a heterogeneous team.",2211.11616v2,https://arxiv.org/pdf/2211.11616v2,Multiagent
Artificial virtuous agents in a multiagent tragedy of the commons,Jakob Stenseke,"Although virtue ethics has repeatedly been proposed as a suitable framework
for the development of artificial moral agents (AMAs), it has been proven
difficult to approach from a computational perspective. In this work, we
present the first technical implementation of artificial virtuous agents (AVAs)
in moral simulations. First, we review previous conceptual and technical work
in artificial virtue ethics and describe a functionalistic path to AVAs based
on dispositional virtues, bottom-up learning, and top-down eudaimonic reward.
We then provide the details of a technical implementation in a moral simulation
based on a tragedy of the commons scenario. The experimental results show how
the AVAs learn to tackle cooperation problems while exhibiting core features of
their theoretical counterpart, including moral character, dispositional
virtues, learning from experience, and the pursuit of eudaimonia. Ultimately,
we argue that virtue ethics provides a compelling path toward morally excellent
machines and that our work provides an important starting point for such
endeavors.",2210.02769v1,https://arxiv.org/pdf/2210.02769v1,Multiagent
From Intelligent Agents to Trustworthy Human-Centred Multiagent Systems,"Mohammad Divband Soorati, Enrico H. Gerding, Enrico Marchioni, Pavel Naumov, Timothy J. Norman, Sarvapali D. Ramchurn, Bahar Rastegari, Adam Sobey, Sebastian Stein, Danesh Tarpore, Vahid Yazdanpanah, Jie Zhang","The Agents, Interaction and Complexity research group at the University of
Southampton has a long track record of research in multiagent systems (MAS). We
have made substantial scientific contributions across learning in MAS,
game-theoretic techniques for coordinating agent systems, and formal methods
for representation and reasoning. We highlight key results achieved by the
group and elaborate on recent work and open research challenges in developing
trustworthy autonomous systems and deploying human-centred AI systems that aim
to support societal good.",2210.02260v1,https://arxiv.org/pdf/2210.02260v1,Multiagent
"A Multiagent Framework for the Asynchronous and Collaborative Extension
  of Multitask ML Systems",Andrea Gesmundo,"The traditional ML development methodology does not enable a large number of
contributors, each with distinct objectives, to work collectively on the
creation and extension of a shared intelligent system. Enabling such a
collaborative methodology can accelerate the rate of innovation, increase ML
technologies accessibility and enable the emergence of novel capabilities. We
believe that this novel methodology for ML development can be demonstrated
through a modularized representation of ML models and the definition of novel
abstractions allowing to implement and execute diverse methods for the
asynchronous use and extension of modular intelligent systems. We present a
multiagent framework for the collaborative and asynchronous extension of
dynamic large-scale multitask systems.",2209.14745v2,https://arxiv.org/pdf/2209.14745v2,Multiagent
"A Policy Resonance Approach to Solve the Problem of Responsibility
  Diffusion in Multiagent Reinforcement Learning","Qingxu Fu, Tenghai Qiu, Jianqiang Yi, Zhiqiang Pu, Xiaolin Ai, Wanmai Yuan","SOTA multiagent reinforcement algorithms distinguish themselves in many ways
from their single-agent equivalences. However, most of them still totally
inherit the single-agent exploration-exploitation strategy. Naively inheriting
this strategy from single-agent algorithms causes potential collaboration
failures, in which the agents blindly follow mainstream behaviors and reject
taking minority responsibility. We name this problem the Responsibility
Diffusion (RD) as it shares similarities with a same-name social psychology
effect. In this work, we start by theoretically analyzing the cause of this RD
problem, which can be traced back to the exploration-exploitation dilemma of
multiagent systems (especially large-scale multiagent systems). We address this
RD problem by proposing a Policy Resonance (PR) approach which modifies the
collaborative exploration strategy of agents by refactoring the joint agent
policy while keeping individual policies approximately invariant. Next, we show
that SOTA algorithms can equip this approach to promote the collaborative
performance of agents in complex cooperative tasks. Experiments are performed
in multiple test benchmark tasks to illustrate the effectiveness of this
approach.",2208.07753v3,https://arxiv.org/pdf/2208.07753v3,Multiagent
"A Cooperation Graph Approach for Multiagent Sparse Reward Reinforcement
  Learning","Qingxu Fu, Tenghai Qiu, Zhiqiang Pu, Jianqiang Yi, Wanmai Yuan","Multiagent reinforcement learning (MARL) can solve complex cooperative tasks.
However, the efficiency of existing MARL methods relies heavily on well-defined
reward functions. Multiagent tasks with sparse reward feedback are especially
challenging not only because of the credit distribution problem, but also due
to the low probability of obtaining positive reward feedback. In this paper, we
design a graph network called Cooperation Graph (CG). The Cooperation Graph is
the combination of two simple bipartite graphs, namely, the Agent Clustering
subgraph (ACG) and the Cluster Designating subgraph (CDG). Next, based on this
novel graph structure, we propose a Cooperation Graph Multiagent Reinforcement
Learning (CG-MARL) algorithm, which can efficiently deal with the sparse reward
problem in multiagent tasks. In CG-MARL, agents are directly controlled by the
Cooperation Graph. And a policy neural network is trained to manipulate this
Cooperation Graph, guiding agents to achieve cooperation in an implicit way.
This hierarchical feature of CG-MARL provides space for customized
cluster-actions, an extensible interface for introducing fundamental
cooperation knowledge. In experiments, CG-MARL shows state-of-the-art
performance in sparse reward multiagent benchmarks, including the anti-invasion
interception task and the multi-cargo delivery task.",2208.03002v1,https://arxiv.org/pdf/2208.03002v1,Multiagent
"Mastering the Game of Stratego with Model-Free Multiagent Reinforcement
  Learning","Julien Perolat, Bart de Vylder, Daniel Hennes, Eugene Tarassov, Florian Strub, Vincent de Boer, Paul Muller, Jerome T. Connor, Neil Burch, Thomas Anthony, Stephen McAleer, Romuald Elie, Sarah H. Cen, Zhe Wang, Audrunas Gruslys, Aleksandra Malysheva, Mina Khan, Sherjil Ozair, Finbarr Timbers, Toby Pohlen, Tom Eccles, Mark Rowland, Marc Lanctot, Jean-Baptiste Lespiau, Bilal Piot, Shayegan Omidshafiei, Edward Lockhart, Laurent Sifre, Nathalie Beauguerlange, Remi Munos, David Silver, Satinder Singh, Demis Hassabis, Karl Tuyls","We introduce DeepNash, an autonomous agent capable of learning to play the
imperfect information game Stratego from scratch, up to a human expert level.
Stratego is one of the few iconic board games that Artificial Intelligence (AI)
has not yet mastered. This popular game has an enormous game tree on the order
of $10^{535}$ nodes, i.e., $10^{175}$ times larger than that of Go. It has the
additional complexity of requiring decision-making under imperfect information,
similar to Texas hold'em poker, which has a significantly smaller game tree (on
the order of $10^{164}$ nodes). Decisions in Stratego are made over a large
number of discrete actions with no obvious link between action and outcome.
Episodes are long, with often hundreds of moves before a player wins, and
situations in Stratego can not easily be broken down into manageably-sized
sub-problems as in poker. For these reasons, Stratego has been a grand
challenge for the field of AI for decades, and existing AI methods barely reach
an amateur level of play. DeepNash uses a game-theoretic, model-free deep
reinforcement learning method, without search, that learns to master Stratego
via self-play. The Regularised Nash Dynamics (R-NaD) algorithm, a key component
of DeepNash, converges to an approximate Nash equilibrium, instead of 'cycling'
around it, by directly modifying the underlying multi-agent learning dynamics.
DeepNash beats existing state-of-the-art AI methods in Stratego and achieved a
yearly (2022) and all-time top-3 rank on the Gravon games platform, competing
with human expert players.",2206.15378v1,https://arxiv.org/pdf/2206.15378v1,Multiagent
"Beyond Rewards: a Hierarchical Perspective on Offline Multiagent
  Behavioral Analysis","Shayegan Omidshafiei, Andrei Kapishnikov, Yannick Assogba, Lucas Dixon, Been Kim","Each year, expert-level performance is attained in increasingly-complex
multiagent domains, where notable examples include Go, Poker, and StarCraft II.
This rapid progression is accompanied by a commensurate need to better
understand how such agents attain this performance, to enable their safe
deployment, identify limitations, and reveal potential means of improving them.
In this paper we take a step back from performance-focused multiagent learning,
and instead turn our attention towards agent behavior analysis. We introduce a
model-agnostic method for discovery of behavior clusters in multiagent domains,
using variational inference to learn a hierarchy of behaviors at the joint and
local agent levels. Our framework makes no assumption about agents' underlying
learning algorithms, does not require access to their latent states or
policies, and is trained using only offline observational data. We illustrate
the effectiveness of our method for enabling the coupled understanding of
behaviors at the joint and local agent level, detection of behavior
changepoints throughout training, discovery of core behavioral concepts,
demonstrate the approach's scalability to a high-dimensional multiagent MuJoCo
control domain, and also illustrate that the approach can disentangle
previously-trained policies in OpenAI's hide-and-seek domain.",2206.09046v3,https://arxiv.org/pdf/2206.09046v3,Multiagent
"Estimating counterfactual treatment outcomes over time in complex
  multiagent scenarios","Keisuke Fujii, Koh Takeuchi, Atsushi Kuribayashi, Naoya Takeishi, Yoshinobu Kawahara, Kazuya Takeda","Evaluation of intervention in a multiagent system, e.g., when humans should
intervene in autonomous driving systems and when a player should pass to
teammates for a good shot, is challenging in various engineering and scientific
fields. Estimating the individual treatment effect (ITE) using counterfactual
long-term prediction is practical to evaluate such interventions. However, most
of the conventional frameworks did not consider the time-varying complex
structure of multiagent relationships and covariate counterfactual prediction.
This may lead to erroneous assessments of ITE and difficulty in interpretation.
Here we propose an interpretable, counterfactual recurrent network in
multiagent systems to estimate the effect of the intervention. Our model
leverages graph variational recurrent neural networks and theory-based
computation with domain knowledge for the ITE estimation framework based on
long-term prediction of multiagent covariates and outcomes, which can confirm
the circumstances under which the intervention is effective. On simulated
models of an automated vehicle and biological agents with time-varying
confounders, we show that our methods achieved lower estimation errors in
counterfactual covariates and the most effective treatment timing than the
baselines. Furthermore, using real basketball data, our methods performed
realistic counterfactual predictions and evaluated the counterfactual passes in
shot scenarios.",2206.01900v4,https://arxiv.org/pdf/2206.01900v4,Multiagent
Exploring the Benefits of Teams in Multiagent Learning,"David Radke, Kate Larson, Tim Brecht","For problems requiring cooperation, many multiagent systems implement
solutions among either individual agents or across an entire population towards
a common goal. Multiagent teams are primarily studied when in conflict;
however, organizational psychology (OP) highlights the benefits of teams among
human populations for learning how to coordinate and cooperate. In this paper,
we propose a new model of multiagent teams for reinforcement learning (RL)
agents inspired by OP and early work on teams in artificial intelligence. We
validate our model using complex social dilemmas that are popular in recent
multiagent RL and find that agents divided into teams develop cooperative
pro-social policies despite incentives to not cooperate. Furthermore, agents
are better able to coordinate and learn emergent roles within their teams and
achieve higher rewards compared to when the interests of all agents are
aligned.",2205.02328v2,https://arxiv.org/pdf/2205.02328v2,Multiagent
The Importance of Credo in Multiagent Learning,"David Radke, Kate Larson, Tim Brecht","We propose a model for multi-objective optimization, a credo, for agents in a
system that are configured into multiple groups (i.e., teams). Our model of
credo regulates how agents optimize their behavior for the groups they belong
to. We evaluate credo in the context of challenging social dilemmas with
reinforcement learning agents. Our results indicate that the interests of
teammates, or the entire system, are not required to be fully aligned for
achieving globally beneficial outcomes. We identify two scenarios without full
common interest that achieve high equality and significantly higher mean
population rewards compared to when the interests of all agents are aligned.",2204.07471v2,https://arxiv.org/pdf/2204.07471v2,Multiagent
Safe adaptation in multiagent competition,"Macheng Shen, Jonathan P. How","Achieving the capability of adapting to ever-changing environments is a
critical step towards building fully autonomous robots that operate safely in
complicated scenarios. In multiagent competitive scenarios, agents may have to
adapt to new opponents with previously unseen behaviors by learning from the
interaction experiences between the ego-agent and the opponent. However, this
adaptation is susceptible to opponent exploitation. As the ego-agent updates
its own behavior to exploit the opponent, its own behavior could become more
exploitable as a result of overfitting to this specific opponent's behavior. To
overcome this difficulty, we developed a safe adaptation approach in which the
ego-agent is trained against a regularized opponent model, which effectively
avoids overfitting and consequently improves the robustness of the ego-agent's
policy. We evaluated our approach in the Mujoco domain with two competing
agents. The experiment results suggest that our approach effectively achieves
both adaptation to the specific opponent that the ego-agent is interacting with
and maintaining low exploitability to other possible opponent exploitation.",2203.07562v1,https://arxiv.org/pdf/2203.07562v1,Multiagent
"Breaking the Curse of Dimensionality in Multiagent State Space: A
  Unified Agent Permutation Framework","Xiaotian Hao, Hangyu Mao, Weixun Wang, Yaodong Yang, Dong Li, Yan Zheng, Zhen Wang, Jianye Hao","The state space in Multiagent Reinforcement Learning (MARL) grows
exponentially with the agent number. Such a curse of dimensionality results in
poor scalability and low sample efficiency, inhibiting MARL for decades. To
break this curse, we propose a unified agent permutation framework that
exploits the permutation invariance (PI) and permutation equivariance (PE)
inductive biases to reduce the multiagent state space. Our insight is that
permuting the order of entities in the factored multiagent state space does not
change the information. Specifically, we propose two novel implementations: a
Dynamic Permutation Network (DPN) and a Hyper Policy Network (HPN). The core
idea is to build separate entity-wise PI input and PE output network modules to
connect the entity-factored state space and action space in an end-to-end way.
DPN achieves such connections by two separate module selection networks, which
consistently assign the same input module to the same input entity (guarantee
PI) and assign the same output module to the same entity-related output
(guarantee PE). To enhance the representation capability, HPN replaces the
module selection networks of DPN with hypernetworks to directly generate the
corresponding module weights. Extensive experiments in SMAC, Google Research
Football and MPE validate that the proposed methods significantly boost the
performance and the learning efficiency of existing MARL algorithms.
Remarkably, in SMAC, we achieve 100% win rates in almost all hard and
super-hard scenarios (never achieved before).",2203.05285v2,https://arxiv.org/pdf/2203.05285v2,Multiagent
Influencing Long-Term Behavior in Multiagent Reinforcement Learning,"Dong-Ki Kim, Matthew Riemer, Miao Liu, Jakob N. Foerster, Michael Everett, Chuangchuang Sun, Gerald Tesauro, Jonathan P. How","The main challenge of multiagent reinforcement learning is the difficulty of
learning useful policies in the presence of other simultaneously learning
agents whose changing behaviors jointly affect the environment's transition and
reward dynamics. An effective approach that has recently emerged for addressing
this non-stationarity is for each agent to anticipate the learning of other
agents and influence the evolution of future policies towards desirable
behavior for its own benefit. Unfortunately, previous approaches for achieving
this suffer from myopic evaluation, considering only a finite number of policy
updates. As such, these methods can only influence transient future policies
rather than achieving the promise of scalable equilibrium selection approaches
that influence the behavior at convergence. In this paper, we propose a
principled framework for considering the limiting policies of other agents as
time approaches infinity. Specifically, we develop a new optimization objective
that maximizes each agent's average reward by directly accounting for the
impact of its behavior on the limiting set of policies that other agents will
converge to. Our paper characterizes desirable solution concepts within this
problem setting and provides practical approaches for optimizing over possible
outcomes. As a result of our farsighted objective, we demonstrate better
long-term performance than state-of-the-art baselines across a suite of diverse
multiagent benchmark domains.",2203.03535v4,https://arxiv.org/pdf/2203.03535v4,Multiagent
"It Takes Four to Tango: Multiagent Selfplay for Automatic Curriculum
  Generation","Yuqing Du, Pieter Abbeel, Aditya Grover","We are interested in training general-purpose reinforcement learning agents
that can solve a wide variety of goals. Training such agents efficiently
requires automatic generation of a goal curriculum. This is challenging as it
requires (a) exploring goals of increasing difficulty, while ensuring that the
agent (b) is exposed to a diverse set of goals in a sample efficient manner and
(c) does not catastrophically forget previously solved goals. We propose
Curriculum Self Play (CuSP), an automated goal generation framework that seeks
to satisfy these desiderata by virtue of a multi-player game with four agents.
We extend the asymmetric curricula learning in PAIRED (Dennis et al., 2020) to
a symmetrized game that carefully balances cooperation and competition between
two off-policy student learners and two regret-maximizing teachers. CuSP
additionally introduces entropic goal coverage and accounts for the
non-stationary nature of the students, allowing us to automatically induce a
curriculum that balances progressive exploration with anti-catastrophic
exploitation. We demonstrate that our method succeeds at generating an
effective curricula of goals for a range of control tasks, outperforming other
methods at zero-shot test-time generalization to novel out-of-distribution
goals.",2202.10608v1,https://arxiv.org/pdf/2202.10608v1,Multiagent
"ECRECer: Enzyme Commission Number Recommendation and Benchmarking based
  on Multiagent Dual-core Learning","Zhenkun Shi, Qianqian Yuan, Ruoyu Wang, Hoaran Li, Xiaoping Liao, Hongwu Ma","Enzyme Commission (EC) numbers, which associate a protein sequence with the
biochemical reactions it catalyzes, are essential for the accurate
understanding of enzyme functions and cellular metabolism. Many ab-initio
computational approaches were proposed to predict EC numbers for given input
sequences directly. However, the prediction performance (accuracy, recall,
precision), usability, and efficiency of existing methods still have much room
to be improved. Here, we report ECRECer, a cloud platform for accurately
predicting EC numbers based on novel deep learning techniques. To build
ECRECer, we evaluate different protein representation methods and adopt a
protein language model for protein sequence embedding. After embedding, we
propose a multi-agent hierarchy deep learning-based framework to learn the
proposed tasks in a multi-task manner. Specifically, we used an extreme
multi-label classifier to perform the EC prediction and employed a greedy
strategy to integrate and fine-tune the final model. Comparative analyses
against four representative methods demonstrate that ECRECer delivers the
highest performance, which improves accuracy and F1 score by 70% and 20% over
the state-of-the-the-art, respectively. With ECRECer, we can annotate numerous
enzymes in the Swiss-Prot database with incomplete EC numbers to their full
fourth level. Take UniPort protein ""A0A0U5GJ41"" as an example (1.14.-.-),
ECRECer annotated it with ""1.14.11.38"", which supported by further protein
structure analysis based on AlphaFold2. Finally, we established a webserver
(https://ecrecer.biodesign.ac.cn) and provided an offline bundle to improve
usability.",2202.03632v1,https://arxiv.org/pdf/2202.03632v1,Multiagent
"Planning Not to Talk: Multiagent Systems that are Robust to
  Communication Loss","Mustafa O. Karabag, Cyrus Neary, Ufuk Topcu","In a cooperative multiagent system, a collection of agents executes a joint
policy in order to achieve some common objective. The successful deployment of
such systems hinges on the availability of reliable inter-agent communication.
However, many sources of potential disruption to communication exist in
practice, such as radio interference, hardware failure, and adversarial
attacks. In this work, we develop joint policies for cooperative multiagent
systems that are robust to potential losses in communication. More
specifically, we develop joint policies for cooperative Markov games with
reach-avoid objectives. First, we propose an algorithm for the decentralized
execution of joint policies during periods of communication loss. Next, we use
the total correlation of the state-action process induced by a joint policy as
a measure of the intrinsic dependencies between the agents. We then use this
measure to lower-bound the performance of a joint policy when communication is
lost. Finally, we present an algorithm that maximizes a proxy to this lower
bound in order to synthesize minimum-dependency joint policies that are robust
to communication loss. Numerical experiments show that the proposed
minimum-dependency policies require minimal coordination between the agents
while incurring little to no loss in performance; the total correlation value
of the synthesized policy is one fifth of the total correlation value of the
baseline policy which does not take potential communication losses into
account. As a result, the performance of the minimum-dependency policies
remains consistently high regardless of whether or not communication is
available. By contrast, the performance of the baseline policy decreases by
twenty percent when communication is lost.",2201.06619v1,https://arxiv.org/pdf/2201.06619v1,Multiagent
